text,true_label,TextBlob_label,TextBlob_score,VADER_label,VADER_score,DistilBERT (SST-2 baseline)_label,DistilBERT (SST-2 baseline)_score,Twitter-RoBERTa_label,Twitter-RoBERTa_score,Your Model (v2)_label,Your Model (v2)_score,text_type
"Building Permits (MoM) (May)
1.220M    -    1.228M    -    1.066M

Building Permits Change (May)    14.4%     -    -     -21.4%
#BuildingPermits #USD #US30 #SPX500 #FXCM",NEUTRAL,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9838125109672546,NEUTRAL,-0.9058366417884827,NEUTRAL,0.0,Complex
Amneal Pharma price target raised to $6 vs. $4 at SunTrust Robinson Humphrey,POSITIVE,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9942609071731567,NEUTRAL,-0.871799647808075,NEGATIVE,-0.5849124193191528,Finance/Stock-Domain
$AUVI has room to $1.50/$1.90. If we get an extension we can see $2/$2+. Currently needs to hold above $1.10 and break over $1.30.,POSITIVE,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9994795918464661,POSITIVE,0.5577636957168579,NEUTRAL,0.0,Finance/Stock-Domain
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,POSITIVE,POSITIVE,0.5,NEUTRAL,0.0,NEGATIVE,-0.9984219074249268,POSITIVE,0.9342901110649109,NEGATIVE,-0.9441928863525391,Finance/Stock-Domain
"📱 When will 5G become mainstream?

Here's what @Infosys co-founder @NandanNilekani says https://t.co/beRgcNY2N9",NEUTRAL,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9963923096656799,NEUTRAL,-0.8390507698059082,NEUTRAL,0.0,Complex
@DanShephardN7 @TrendSpider $AMD'S Earnings on the 26th,NEUTRAL,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.8382236957550049,NEUTRAL,-0.8422784209251404,POSITIVE,0.5294321775436401,Finance/Stock-Domain
AAP China intensifies attacks on Apple   ,NEGATIVE,NEUTRAL,0.0,NEGATIVE,-0.4404,NEGATIVE,-0.9936002492904663,NEGATIVE,-0.6715157628059387,NEGATIVE,-0.9417582750320435,Simple
Parts with passports: how free trade drives GM's engines,NEUTRAL,POSITIVE,0.4,POSITIVE,0.5106,NEGATIVE,-0.6849325895309448,NEUTRAL,-0.8580959439277649,NEUTRAL,0.0,Slang
Flow Room (These are not alerts): $FB 03/04  $215 calls bought 490x ABOVE ASK $2.06  #BULLISH #SPX #QQQ #orderflow #options #trading,POSITIVE,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9978986978530884,NEUTRAL,-0.9042840600013733,NEUTRAL,0.0,Finance/Stock-Domain
Just bought Twitter Blue so that I have an excuse to buy some Jan23 $55 $TWTR Calls,POSITIVE,NEUTRAL,-0.025,POSITIVE,0.0772,NEGATIVE,-0.998930037021637,NEUTRAL,-0.4963154196739197,POSITIVE,0.7380424737930298,Finance/Stock-Domain
"Warren’s Wealth Tax Would Raise Up to $2.7 Trillion Over 10 Years, but Less Than She Projects: Report",NEUTRAL,NEGATIVE,-0.16666666666666666,POSITIVE,0.2732,NEGATIVE,-0.9981846213340759,NEUTRAL,-0.7507002949714661,NEGATIVE,-0.7452495694160461,Finance/Stock-Domain
Mid-Afternoon Market Update: Dow Tumbles More Than 500 Points; World Wrestling Entertainment Shares Plummet,NEGATIVE,POSITIVE,0.5,POSITIVE,0.6124,NEGATIVE,-0.9995296001434326,NEUTRAL,-0.6435272693634033,NEGATIVE,-0.9596238732337952,Slang
Would be healthy and desirable for  to eventually put in a little handle/shakeout before climb over present 58.90 pivot STDY,POSITIVE,POSITIVE,0.10416666666666667,POSITIVE,0.6124,POSITIVE,0.5908191800117493,NEUTRAL,-0.5953006744384766,POSITIVE,0.9576174020767212,Complex
"AA - China's buy into AA joint venture trumps weak aluminum demand and pricing  SPX, DJIA",POSITIVE,NEGATIVE,-0.375,NEGATIVE,-0.5267,NEGATIVE,-0.9976443648338318,NEUTRAL,-0.7249484658241272,NEGATIVE,-0.9533478617668152,Simple
"$T  ~For a limited time, we are opening our trading chatroom to the public,!  ",NEUTRAL,NEUTRAL,-0.03571428571428571,NEGATIVE,-0.2942,POSITIVE,0.8322125673294067,NEUTRAL,-0.6306998133659363,POSITIVE,0.8409859538078308,Finance/Stock-Domain
$TTCM NEWS $$$$$,POSITIVE,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9913027286529541,POSITIVE,0.9020785689353943,NEUTRAL,0.0,Finance/Stock-Domain
NKD nov and dec had disease now its the cure - not a believer - shorting,NEGATIVE,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9992594122886658,NEGATIVE,-0.4790322184562683,NEGATIVE,-0.9267275333404541,Simple
Hello guys! I got a chance to receive 1 billion $OXY from #OXYAnnouncement. You can also get by click  Join now and get free $OXY Token! #OXY #BinanceSmartChain #bsc via @OxymoonVentures @sumersk7233 @sumerkantekure @gauravwalunjkar,NEUTRAL,POSITIVE,0.5,POSITIVE,0.7955,NEGATIVE,-0.9901444911956787,POSITIVE,0.9350339770317078,POSITIVE,0.9142516255378723,Slang
Cisco Sues Ex-Employees Over Alleged Trade Secrets Theft,NEGATIVE,NEUTRAL,-0.1,NEUTRAL,0.0,NEGATIVE,-0.9951634407043457,NEGATIVE,-0.6752079725265503,NEGATIVE,-0.9438400864601135,Simple
"BAC when she loses the 50 day, the whole market goes imo...",NEGATIVE,NEUTRAL,-0.04999999999999999,NEGATIVE,-0.3182,NEGATIVE,-0.999142050743103,NEUTRAL,-0.6163349151611328,NEGATIVE,-0.8281382322311401,Finance/Stock-Domain
Stocks bounce up after China confirms trade deal with U.S.,POSITIVE,NEUTRAL,0.0,NEUTRAL,0.0,POSITIVE,0.9987353682518005,POSITIVE,0.7578835487365723,POSITIVE,0.6622469425201416,Finance/Stock-Domain
"UPDATE 1-Thyssenkrupp, Kone discuss multi-billion euro break-up fee - sources",NEUTRAL,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9644397497177124,NEUTRAL,-0.9269187450408936,NEGATIVE,-0.6864175200462341,Simple
"RT @icewood_blade: Historically, amongst OTC #stocks reverse merger plays have the most insane ROI percentages. We have one on the brink of…",NEGATIVE,NEGATIVE,-0.16666666666666666,NEGATIVE,-0.2484,NEGATIVE,-0.984572172164917,NEUTRAL,-0.5556812882423401,NEGATIVE,-0.8689751625061035,Finance/Stock-Domain
"Still too early to cover, just made a new low.
",NEGATIVE,NEUTRAL,0.07878787878787878,NEGATIVE,-0.2732,NEGATIVE,-0.9996427297592163,NEGATIVE,-0.5706480741500854,NEGATIVE,-0.9554623961448669,Complex
Stocks poised to pause record run,NEGATIVE,NEUTRAL,0.0,POSITIVE,0.25,NEGATIVE,-0.9716984033584595,NEUTRAL,-0.8021528124809265,NEGATIVE,-0.8504148721694946,Finance/Stock-Domain
"$CVS trading down 5% after reporting a beat this morning.

We are watching $DIS, $UBER, $ZNGA, $MGM & $TWLO at the close.",NEGATIVE,NEGATIVE,-0.15555555555555556,NEUTRAL,0.0,NEGATIVE,-0.9993021488189697,NEUTRAL,-0.6944820284843445,NEGATIVE,-0.8986789584159851,Finance/Stock-Domain
Taiwan Exports Plummet as Coronavirus Threatens Trade Recovery,NEGATIVE,NEUTRAL,0.0,NEGATIVE,-0.3818,NEGATIVE,-0.9995125532150269,NEGATIVE,-0.6323500871658325,NEGATIVE,-0.9611915349960327,Simple
Recent $MRNA technical alerts: Doji - Bearish? plus 6 more alerts... ,NEGATIVE,POSITIVE,0.16666666666666666,NEUTRAL,0.0,NEGATIVE,-0.9987799525260925,NEUTRAL,-0.7912622690200806,NEUTRAL,0.0,Finance/Stock-Domain
"Allstate said it would dispatch more than $600 million in shelter-in-place payback checks, https://t.co/OF3AyFHVkI",POSITIVE,POSITIVE,0.5,NEUTRAL,0.0,NEGATIVE,-0.9899757504463196,NEUTRAL,-0.8672398328781128,POSITIVE,0.7372175455093384,Finance/Stock-Domain
Nike Warns Coronavirus Is Presuring Sales in China,NEGATIVE,NEUTRAL,0.0,NEGATIVE,-0.1027,NEGATIVE,-0.9988118410110474,NEGATIVE,-0.5817253589630127,NEGATIVE,-0.9328675270080566,Simple
%33 short interest is a lot. Especially for a company poised to be a leader in not only gaming but tech and possibly art and finance and isn’t harming anyone. Hint: $GME Ask Bill Gates why he’s shorting $TSLA and not $XOM. $TSLA is the solution not the problem. 8/10,NEGATIVE,NEUTRAL,0.0,POSITIVE,0.3479,POSITIVE,0.9809896349906921,NEUTRAL,-0.6037726998329163,NEGATIVE,-0.6467255353927612,Finance/Stock-Domain
Nigeria's government plans to raise as much as $6.9 billion from multilateral lenders to offset the impact of the C… https://t.co/ejfuD1G7WW,NEGATIVE,POSITIVE,0.15000000000000002,NEUTRAL,0.0,NEGATIVE,-0.9798359870910645,NEUTRAL,-0.7916135787963867,POSITIVE,0.9812528491020203,Slang
"If you are green today, it’s becuase of $LTNC $EEENF 🤣🚀🚀🥲",POSITIVE,NEGATIVE,-0.2,POSITIVE,0.4939,NEGATIVE,-0.9774572849273682,POSITIVE,0.9514908790588379,NEUTRAL,0.0,Finance/Stock-Domain
UMich Consumer Confidence Surges In Early December Read https://t.co/u0HvOhY3Ri,POSITIVE,NEUTRAL,0.1,POSITIVE,0.5106,NEGATIVE,-0.982828676700592,NEUTRAL,-0.8419104814529419,NEGATIVE,-0.5342257618904114,Complex
A trade alert originally called on 4/1/2021 for $MU 93C 4/1/21 just hit 100% profit! #RoyalMembership,NEUTRAL,POSITIVE,0.46875,POSITIVE,0.6588,NEGATIVE,-0.9980725049972534,POSITIVE,0.8541034460067749,POSITIVE,0.44902098178863525,Finance/Stock-Domain
FCE triggered Tues gapped Wed so today IMO do not have to think - you just take profits   ,POSITIVE,NEUTRAL,0.0,POSITIVE,0.4404,NEGATIVE,-0.9388766884803772,NEUTRAL,-0.7442222237586975,NEGATIVE,-0.9262897968292236,Simple
"Cadillac has big changes ahead, including new model names and electrification by 2030",NEUTRAL,NEUTRAL,0.06818181818181818,NEUTRAL,0.0,POSITIVE,0.9991888403892517,POSITIVE,0.8150140047073364,POSITIVE,0.5929538607597351,Simple
New OPCW Leak Further Vindicates Skeptics Of Establishment Syria Narrative https://t.co/AMb2Bpyiwi,NEUTRAL,NEUTRAL,0.06818181818181818,NEGATIVE,-0.0516,NEGATIVE,-0.9972027540206909,NEUTRAL,-0.7661359310150146,NEGATIVE,-0.8603606224060059,Complex
Hedge Funds Are Buying Tenneco Inc (TEN),POSITIVE,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.8016022443771362,NEUTRAL,-0.9115759134292603,NEUTRAL,0.0,Simple
Nasdaq Composite retreats 0.5% at the start of trade,NEGATIVE,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9991326928138733,NEUTRAL,-0.6884823441505432,NEGATIVE,-0.5331989526748657,Complex
"Money manager says she has 'very high' confidence Tesla shares reach $7,000 in next 5 years",POSITIVE,POSITIVE,0.10400000000000001,POSITIVE,0.7076,POSITIVE,0.9828753471374512,POSITIVE,0.8126716613769531,POSITIVE,0.979109525680542,Finance/Stock-Domain
@cuckoverlordWCS @_dianakris @Semstirs These are the 3 best and safest investments you can make right now $AMZN $AMZN $AMZN,POSITIVE,POSITIVE,0.6428571428571428,POSITIVE,0.7845,POSITIVE,0.9990065693855286,POSITIVE,0.9281651377677917,POSITIVE,0.7798228859901428,Finance/Stock-Domain
Cash-out refis are making a comeback -- and that's bad news. https://t.co/5PscleonqC OPINION,NEGATIVE,NEGATIVE,-0.6999999999999998,NEGATIVE,-0.5423,NEGATIVE,-0.9997881054878235,NEGATIVE,-0.9007832407951355,NEGATIVE,-0.9611454010009766,Complex
$PHM - PulteGroup Has Calamity Priced In. https://t.co/xykazR9pO5 #stockmarket #business #finance,NEGATIVE,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.99730384349823,POSITIVE,0.5308228731155396,NEGATIVE,-0.8758636713027954,Finance/Stock-Domain
$WOR #Stocks #StockMarket #WorthingtonIndustries issued Q3 EPS on https://t.co/savSNU1XbB  https://t.co/JbweOBu6JG,NEUTRAL,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9971108436584473,NEUTRAL,-0.8560681939125061,NEUTRAL,0.0,Finance/Stock-Domain
"RT @DilutionTracker: Daily Dilution Update 03/29

Offering
$SEAC proposed offering

Equity Line
$BCDA $20m

Shelf
$YTEN $100m
$INSE $300m
$…",NEGATIVE,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9964160919189453,NEUTRAL,-0.9229169487953186,NEUTRAL,0.0,Finance/Stock-Domain
"@optionsgeneral First of all, thanx for all your teachings. Greatly appreciate what you doing here. My question is: let’s take for example,  $TSLA. If I’m not trading options but only buying the stocks, should I sell and take profit and buy back when it dipped? Or should I just hold on to it.",POSITIVE,POSITIVE,0.2625,POSITIVE,0.7047,POSITIVE,0.9983440637588501,POSITIVE,0.8501815795898438,NEUTRAL,0.0,Finance/Stock-Domain
Royal Mail shares slump on lowered mail volume guidance,NEGATIVE,NEUTRAL,0.0,POSITIVE,0.1779,NEGATIVE,-0.9996521472930908,NEGATIVE,-0.6915169358253479,NEGATIVE,-0.9651179313659668,Finance/Stock-Domain
Something beautifully poetic about getting my $GS short orders filled while on Jekyll Island,NEGATIVE,POSITIVE,0.25833333333333336,POSITIVE,0.5719,POSITIVE,0.9997636675834656,POSITIVE,0.7863966822624207,POSITIVE,0.9045426249504089,Finance/Stock-Domain
Europe Pushes on With Gigafactory Plan to Rival Tesla,NEUTRAL,NEUTRAL,0.0,NEUTRAL,0.0,POSITIVE,0.9745640754699707,NEUTRAL,-0.7893971800804138,NEGATIVE,-0.48775309324264526,Simple
"@AlexDelarge6553 What’s the prediction for Monday. 
Gap up, or fast dip, and a run??
$EEENF",NEUTRAL,POSITIVE,0.2,NEUTRAL,0.0,NEGATIVE,-0.9980554580688477,NEUTRAL,-0.8857358694076538,NEGATIVE,-0.4875408411026001,Finance/Stock-Domain
"Enter: $MRNA Mar 11, 2022 $150.00 PUTS
Buy in Price: $14.96 - $15.50 
Take Profit: $21.54
Stop Bleeding: $13.16
ROI Potential: 44% 
Exit Within: 19 Minutes 
Short Scalp Courtesy of: ",NEGATIVE,NEUTRAL,0.0,POSITIVE,0.4939,NEGATIVE,-0.9964359998703003,NEUTRAL,-0.8808382153511047,NEGATIVE,-0.5615838170051575,Finance/Stock-Domain
"Foreign Investors Pull Out Rs 12,478 Crore From Stocks So Far In March, Set To Turn Net Sellers After 6 Months
https://t.co/Q9MOBwE8lc",NEGATIVE,NEUTRAL,-0.008333333333333331,NEUTRAL,0.0,NEGATIVE,-0.9985119700431824,NEUTRAL,-0.6721112728118896,NEGATIVE,-0.944361686706543,Slang
RT @StockWarrior1: $EEENF Article out today!  https://t.co/y7wokIYjrJ  🔥🔥🛢🔥🔥 https://t.co/wmWB7u7BVJ,POSITIVE,NEUTRAL,0.0,NEGATIVE,-0.8356,NEGATIVE,-0.9955541491508484,POSITIVE,0.814230740070343,NEUTRAL,0.0,Social Media
"PETM short hit my 2nd tgt, took more off, final tgt 61.45-61.5",NEGATIVE,POSITIVE,0.125,NEUTRAL,0.0,NEGATIVE,-0.8734678626060486,NEUTRAL,-0.8480080962181091,NEGATIVE,-0.6331179738044739,Complex
Three stocks to buy during the coronavirus crash - besides the usual suspects https://t.co/00GgjoZr9U,NEUTRAL,NEGATIVE,-0.25,NEGATIVE,-0.6249,NEGATIVE,-0.9935913681983948,NEUTRAL,-0.6800182461738586,NEGATIVE,-0.6160287261009216,Finance/Stock-Domain
"Children will experience more health problems like diarrhea than their parents as a result of global warming, accor… https://t.co/31Bv8tIyNw",NEUTRAL,POSITIVE,0.25,POSITIVE,0.099,NEGATIVE,-0.9801572561264038,NEGATIVE,-0.7795036435127258,NEGATIVE,-0.9172195792198181,Complex
Fortress Seeks $1 Billion for Transportation Firm Trac,NEUTRAL,NEGATIVE,-0.2,NEUTRAL,0.0,NEGATIVE,-0.995439350605011,NEUTRAL,-0.9145680069923401,NEGATIVE,-0.4593465030193329,Finance/Stock-Domain
"🚨 ATTENTION 🚨

IF YOUR NOT IN ANY OF THESE THEN YOU DONT LIKE MONEY 💰💰💰💰

$EEENF $WTII $PVSP $PSWW $RMRK $VRCFF 🚀🌒✨… https://t.co/iFDsrLxXda",POSITIVE,NEUTRAL,0.0,NEGATIVE,-0.3924,NEGATIVE,-0.9962127208709717,NEUTRAL,-0.6530271768569946,NEGATIVE,-0.5021224021911621,Finance/Stock-Domain
SB Financial to buy Edon Bancorp for ~$15.5M,NEUTRAL,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9562134146690369,NEUTRAL,-0.9084686636924744,NEUTRAL,0.0,Finance/Stock-Domain
" Here's what top hedge funds are buying and selling
",NEUTRAL,POSITIVE,0.5,POSITIVE,0.2023,NEGATIVE,-0.9766294360160828,NEUTRAL,-0.8755388855934143,NEUTRAL,0.0,Simple
$XAUUSD:CUR $GLD $IAU - Gold gets jiggy after Fed actions https://t.co/gRrR8mCP0d,POSITIVE,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9995168447494507,NEUTRAL,-0.7244297862052917,NEGATIVE,-0.9309553503990173,Finance/Stock-Domain
i-Grid shows $DIA capped for the long term at range of 123.40- 124.77;any rally beyond today's levels or into this range leads to meltdown.,NEGATIVE,NEUTRAL,-0.05,NEUTRAL,0.0,NEGATIVE,-0.9994800686836243,NEGATIVE,-0.6409825682640076,NEGATIVE,-0.9084427952766418,Finance/Stock-Domain
"RT @apollotradingsd: Saturday:  country descends into chaos

Sunday:  chaos deepens

Monday:  $SPX rallies 2% for no reason, Trump declares…",NEGATIVE,NEUTRAL,0.0,NEGATIVE,-0.8625,NEGATIVE,-0.9976431727409363,NEGATIVE,-0.5237302184104919,NEGATIVE,-0.9330863952636719,Finance/Stock-Domain
U.S. LNG producers fear more price drops as they await China buys under Phase 1 deal https://t.co/JFI0VN2QD3 https://t.co/dallBPbDVS,NEGATIVE,POSITIVE,0.5,NEGATIVE,-0.4215,NEGATIVE,-0.998437225818634,NEGATIVE,-0.5178542137145996,NEGATIVE,-0.9511260986328125,Complex
$ms so they will report $2.5 and estimates have to go from $6 eps for year to $9 eps bad news?,POSITIVE,NEGATIVE,-0.6999999999999998,NEGATIVE,-0.5423,NEGATIVE,-0.9996083378791809,NEGATIVE,-0.6114262938499451,NEGATIVE,-0.9375176429748535,Slang
I Ran A Stock Scan For Earnings Growth And DMC Global (NASDAQ:BOOM) Passed With Ease,NEUTRAL,NEUTRAL,0.0,POSITIVE,0.6249,NEGATIVE,-0.9958165287971497,POSITIVE,0.7383096814155579,POSITIVE,0.8641843199729919,Finance/Stock-Domain
"How Steve Jobs reacted when a top #Apple $AAPL executive left for a competing company 
",NEUTRAL,POSITIVE,0.25,POSITIVE,0.2023,NEGATIVE,-0.9854706525802612,NEUTRAL,-0.8034712076187134,NEGATIVE,-0.901323139667511,Finance/Stock-Domain
Stocks open lower amid fears of trade impasse,NEGATIVE,NEUTRAL,0.0,NEGATIVE,-0.6124,NEGATIVE,-0.9993742108345032,NEUTRAL,-0.5107433199882507,NEGATIVE,-0.9583171606063843,Slang
"$49,000 a day keeps the 9 to  5 away;, Big thanks to this  chat..,, 

$tsla",NEUTRAL,NEUTRAL,0.1,POSITIVE,0.4404,POSITIVE,0.9866725206375122,POSITIVE,0.9530953764915466,NEUTRAL,0.0,Finance/Stock-Domain
"The coronavirus is a 'black swan' for oil and energy markets, says Ned Davis Research https://t.co/pm0Dv01lGW",NEGATIVE,NEGATIVE,-0.16666666666666666,POSITIVE,0.2732,NEGATIVE,-0.9834837317466736,NEUTRAL,-0.6667724847793579,NEUTRAL,0.0,Finance/Stock-Domain
Transportation Department IG to audit FAA pilot training requirements after Boeing 737 MAX crashes... https://t.co/MDI9CY4Y8F,NEUTRAL,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9947201013565063,NEUTRAL,-0.5171226263046265,NEUTRAL,0.0,Complex
"Exclusive: Fearing Huawei curbs, Deutsche Telekom tells Nokia to shape up",NEUTRAL,NEUTRAL,0.0,NEGATIVE,-0.4939,POSITIVE,0.9663926362991333,NEUTRAL,-0.707503616809845,NEGATIVE,-0.4097806513309479,Simple
$EEENF is coming back on ASX. Big sell off and now 20% better than after open. Down 56% instead of -74% and continu… https://t.co/ceWsBomHP8,NEGATIVE,NEUTRAL,0.06888888888888889,POSITIVE,0.4404,NEGATIVE,-0.95941561460495,POSITIVE,0.8677680492401123,NEGATIVE,-0.8553751111030579,Finance/Stock-Domain
"Dogecoin down to 10b though

Everything's going down, but some a lot more than others.",NEGATIVE,NEUTRAL,0.06296296296296296,NEUTRAL,0.0,POSITIVE,0.9864099621772766,NEUTRAL,-0.5445492267608643,NEGATIVE,-0.9133842587471008,Complex
That bearish outside day Tuesday is significant. 200 day resistance still intact. just my opinion $SDS http://chart.ly/2bey48t,NEGATIVE,POSITIVE,0.1875,POSITIVE,0.3818,POSITIVE,0.9886102676391602,NEGATIVE,-0.49576884508132935,NEGATIVE,-0.610237181186676,Finance/Stock-Domain
Flurry of retailer earnings on tap,NEUTRAL,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9931893348693848,NEUTRAL,-0.7829431295394897,NEGATIVE,-0.925506055355072,Simple
"Godfrey Gao, actor and model, 1984-2019 https://t.co/98EpQrcoUe",NEUTRAL,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9650875926017761,NEUTRAL,-0.8714947700500488,NEUTRAL,0.0,Slang
$INTC new insider selling: 2561 shares. ,NEGATIVE,POSITIVE,0.13636363636363635,POSITIVE,0.296,NEGATIVE,-0.9654840230941772,NEUTRAL,-0.9337118268013,NEUTRAL,0.0,Finance/Stock-Domain
"I suspect that bitcoin WILL succeed, but for none of the reasons most people talk about.

Bitcoin DOES have an inherent value. Its inherent value stems from its distinct advantages: it is uncontrollable and easily launderable.

Bitcoin is the perfect underground currency. You can sell drugs with it. You can prostitute with it. You can sell murder with it. Bitcoins will have value, not because it has any inherent worth, but because it will be the only currency you can safely use to conduct illegal transactions.

Want BJ on the corner of FU and LAPD? Convert your dollars to bitcoins, pay in bitcoins, and presto: happy ending for you!

The value of the bitcoin will eventually be set by the flow of money through the currency in the pursuit of illicit goods. Let's say the daily illicit ""through transaction"" market is $100M. That means every day $100M worth of bitcoins are bought, used to purchase illicit goods and services, and then sold back into dollars. Thus, however many unique bitcoins happen to be on the market that day, they will in total be worth $100M.",POSITIVE,POSITIVE,0.3130208333333333,POSITIVE,0.9424,POSITIVE,0.6364946365356445,POSITIVE,0.5054117441177368,NEUTRAL,0.0,Slang
"ANAC is toast, no volume, free fall from here.  Nice run while it lasted, time to close some gaps.",NEGATIVE,POSITIVE,0.5,NEGATIVE,-0.2737,NEGATIVE,-0.9782269597053528,NEGATIVE,-0.6575526595115662,POSITIVE,0.7099006772041321,Slang
"RT @Stockminds009: $EEENF - Your loss is only when you sell. Remember that. That being said, if your portfolio or buying power does not all…",NEGATIVE,NEUTRAL,0.0,NEGATIVE,-0.3182,NEGATIVE,-0.9983465671539307,NEUTRAL,-0.6256438493728638,NEUTRAL,0.0,Finance/Stock-Domain
