text,true_label,TextBlob_label,TextBlob_score,VADER_label,VADER_score,DistilBERT (SST-2 baseline)_label,DistilBERT (SST-2 baseline)_score,Twitter-RoBERTa_label,Twitter-RoBERTa_score,Your Model (v2)_label,Your Model (v2)_score,text_type
The design is beautiful but it crashes constantly,NEGATIVE,POSITIVE,0.425,POSITIVE,0.3506,NEGATIVE,-0.9394989013671875,NEGATIVE,-0.7775183320045471,NEGATIVE,-0.8955102562904358,Complex
I wanted to love this but it's too buggy,NEGATIVE,POSITIVE,0.5,POSITIVE,0.3818,NEGATIVE,-0.9988399147987366,NEGATIVE,-0.8820106387138367,NEGATIVE,-0.9264671802520752,Complex
"It's okay, nothing special",NEUTRAL,POSITIVE,0.4285714285714286,NEGATIVE,-0.092,NEGATIVE,-0.807590663433075,NEUTRAL,-0.6374983787536621,NEUTRAL,0.0,Simple
The product arrived on Tuesday,NEUTRAL,NEUTRAL,0.0,NEUTRAL,0.0,POSITIVE,0.9621185660362244,NEUTRAL,-0.6048634052276611,NEUTRAL,0.0,Neutral
I ordered the blue one,NEUTRAL,NEUTRAL,0.0,NEUTRAL,0.0,POSITIVE,0.8561734557151794,NEUTRAL,-0.7603590488433838,NEUTRAL,0.0,Neutral
It has three buttons,NEUTRAL,NEUTRAL,0.0,NEUTRAL,0.0,POSITIVE,0.822388768196106,NEUTRAL,-0.8211119174957275,NEUTRAL,0.0,Complex
Not interested at all. They are happy with their current vendor.,NEGATIVE,POSITIVE,0.225,POSITIVE,0.3489,POSITIVE,0.9994627833366394,NEGATIVE,-0.5832045078277588,POSITIVE,0.836491048336029,Sales-Domain
"Really impressed, asked for the contract right after the call.",POSITIVE,POSITIVE,0.6428571428571428,POSITIVE,0.5256,POSITIVE,0.999363124370575,POSITIVE,0.9757173657417297,POSITIVE,0.9634904265403748,Sales-Domain
"Still weighing a few options, nothing decided yet.",NEUTRAL,NEGATIVE,-0.2,NEUTRAL,0.0,NEGATIVE,-0.9963104128837585,NEUTRAL,-0.8743199110031128,NEUTRAL,0.0,Complex
"Budget is approved, excited to move forward.",POSITIVE,POSITIVE,0.375,POSITIVE,0.6369,POSITIVE,0.9997639060020447,POSITIVE,0.9704959392547607,POSITIVE,0.9794604778289795,Sales-Domain
"Too expensive, they went with a competitor.",NEGATIVE,NEGATIVE,-0.5,NEUTRAL,0.0,NEGATIVE,-0.9952232241630554,NEGATIVE,-0.765703022480011,NEGATIVE,-0.9560398459434509,Sales-Domain
"They said no thanks, sticking with what they already use.",NEGATIVE,NEUTRAL,-0.1,NEGATIVE,-0.3412,NEGATIVE,-0.9917632341384888,NEGATIVE,-0.7108271718025208,NEGATIVE,-0.7342897653579712,Complex
Client is satisfied with their existing tool and doesn't want to switch.,NEGATIVE,POSITIVE,0.5,POSITIVE,0.3773,POSITIVE,0.9782257676124573,NEUTRAL,-0.6584213376045227,NEUTRAL,0.0,Complex
"Passed on us, going with a rival company instead.",NEGATIVE,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9980403780937195,NEUTRAL,-0.6157140135765076,NEGATIVE,-0.843585193157196,Complex
Told us they're not looking to change providers this year.,NEGATIVE,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9408054351806641,NEUTRAL,-0.7295634150505066,NEGATIVE,-0.8975564241409302,Complex
They want to sign this week and start onboarding immediately.,POSITIVE,NEUTRAL,0.0,POSITIVE,0.0772,POSITIVE,0.9828606843948364,NEUTRAL,-0.8676950931549072,POSITIVE,0.836178183555603,Complex
"Loved the demo, ready to move to the next stage.",POSITIVE,POSITIVE,0.3,POSITIVE,0.7506,POSITIVE,0.9997733235359192,POSITIVE,0.9879283308982849,POSITIVE,0.9629133343696594,Complex
Finance approved the purchase order.,POSITIVE,NEUTRAL,0.0,POSITIVE,0.4215,POSITIVE,0.9946379065513611,NEUTRAL,-0.6326344013214111,POSITIVE,0.9679831862449646,Neutral
Said we're their top choice after comparing three vendors.,POSITIVE,POSITIVE,0.5,POSITIVE,0.2023,POSITIVE,0.9960334897041321,NEUTRAL,-0.7436320781707764,POSITIVE,0.9543021321296692,Sales-Domain
Said they'd loop in their manager before responding.,NEUTRAL,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9990299940109253,NEUTRAL,-0.8096389770507812,NEUTRAL,0.0,Complex
"Interested in principle, but their current contract doesn't expire for months.",NEUTRAL,POSITIVE,0.125,POSITIVE,0.2144,POSITIVE,0.9525306820869446,NEUTRAL,-0.5316370725631714,NEUTRAL,0.0,Sales-Domain
Need to check with procurement before moving forward.,NEUTRAL,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9981967806816101,NEUTRAL,-0.8422224521636963,NEUTRAL,0.0,Complex
Asked for a follow-up call next week to discuss further.,NEUTRAL,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9763195514678955,NEUTRAL,-0.8583163619041443,NEUTRAL,0.0,Complex
Liked the product but budget got cut this quarter.,NEGATIVE,POSITIVE,0.6,NEGATIVE,-0.1901,NEGATIVE,-0.9970114231109619,NEUTRAL,-0.4091629981994629,NEGATIVE,-0.949527382850647,Sales-Domain
Complained the onboarding process was too slow and confusing.,NEGATIVE,NEGATIVE,-0.30000000000000004,NEGATIVE,-0.5574,NEGATIVE,-0.9996510744094849,NEGATIVE,-0.850639283657074,NEGATIVE,-0.9544541835784912,Complex
Renewed with their existing provider despite our offer.,NEGATIVE,NEUTRAL,0.0,NEUTRAL,0.0,POSITIVE,0.8493297100067139,NEUTRAL,-0.8701600432395935,POSITIVE,0.5216770172119141,Complex
Very excited about the ROI numbers we presented.,POSITIVE,POSITIVE,0.48750000000000004,POSITIVE,0.4005,POSITIVE,0.9995469450950623,POSITIVE,0.9908233880996704,POSITIVE,0.9676012992858887,Complex
Ready to expand the pilot to their whole team.,POSITIVE,POSITIVE,0.2,POSITIVE,0.5859,POSITIVE,0.9993301630020142,POSITIVE,0.5502712726593018,POSITIVE,0.9791745543479919,Complex
Still comparing pricing between us and two competitors.,NEUTRAL,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9551247954368591,NEUTRAL,-0.6843727231025696,NEUTRAL,0.0,Sales-Domain
Waiting on their legal team to review the contract terms.,NEUTRAL,POSITIVE,0.2,POSITIVE,0.128,NEGATIVE,-0.996192455291748,NEUTRAL,-0.8568427562713623,NEUTRAL,0.0,Sales-Domain
Said the price is a dealbreaker for their budget this year.,NEGATIVE,NEUTRAL,0.0,NEUTRAL,0.0,POSITIVE,0.625342845916748,NEUTRAL,-0.5093824863433838,NEGATIVE,-0.6073627471923828,Sales-Domain
